Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Correlated,50,0.25,2.0,9,777.0,789,741,741,741.0,518.0,726,726,30.09,600.02,7.02,8.68,2.07,2.07
2,Correlated,50,0.25,2.0,9,1008.0,927.0,974.0,927.0,918.0,912.0,809,912.0,0.65,600.01,10.53,1.64,6.8,1.64
3,Correlated,50,0.25,2.0,9,1135.0,1035.0,1057.0,1035.0,1020.0,966.0,872,966.0,5.29,600.02,17.49,7.14,9.42,7.14
4,Correlated,50,0.25,2.0,9,878.0,785,782,782,782.0,614.0,765,765,21.48,600.01,14.77,2.61,2.22,2.22
5,Correlated,50,0.25,2.0,9,994.0,871.0,910.0,871.0,856.0,838.0,797,838.0,2.1,600.02,18.62,3.94,8.59,3.94
6,Correlated,50,0.25,2.0,9,1009.0,871.0,911.0,871.0,851.0,782.57,815,815,8.04,600.02,23.8,6.87,11.78,6.87
7,Correlated,50,0.25,2.0,9,997.0,847.0,861.0,847.0,850.0,777.81,806,806,8.49,600.02,23.7,5.09,6.82,5.09
8,Correlated,50,0.25,2.0,9,1175.0,1170.0,1238.0,1170.0,1135.0,1090.62,878,1090.62,3.91,600.02,7.74,7.28,13.51,7.28
9,Correlated,50,0.25,2.0,9,777.0,817,743,743,743.0,510.73,728,728,31.26,600.01,6.73,12.23,2.06,2.06
10,Correlated,50,0.25,2.0,9,773.0,738,738,738,738.0,574.0,723,723,22.22,600.02,6.92,2.07,2.07,2.07
