Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,200,0.15,1.5,9,3630.0,3630.0,4035.0,3630.0,5655.0,3330.0,3030,3330.0,41.11,600.11,9.01,9.01,21.17,9.01
2,Left-skewed,200,0.15,1.5,9,3675.0,3675.0,4080.0,3675.0,6105.0,3375.0,3030,3375.0,44.72,600.07,8.89,8.89,20.89,8.89
3,Left-skewed,200,0.15,1.5,9,3495.0,3495.0,3885.0,3495.0,5145.0,3240.0,3030,3240.0,37.03,600.18,7.87,7.87,19.91,7.87
4,Left-skewed,200,0.15,1.5,9,3675.0,3675.0,4035.0,3675.0,5760.0,3375.0,3030,3375.0,41.41,600.17,8.89,8.89,19.56,8.89
5,Left-skewed,200,0.15,1.5,9,3750.0,3750.0,4125.0,3750.0,5940.0,3420.0,3030,3420.0,42.42,600.13,9.65,9.65,20.61,9.65
6,Left-skewed,200,0.15,1.5,9,3570.0,3570.0,3990.0,3570.0,5880.0,-inf,3030,3030,inf,600.48,17.82,17.82,31.68,17.82
7,Left-skewed,200,0.15,1.5,9,3615.0,3615.0,3945.0,3615.0,6135.0,3285.0,3030,3285.0,46.45,600.1,10.05,10.05,20.09,10.05
8,Left-skewed,200,0.15,1.5,9,3795.0,3795.0,4110.0,3795.0,5910.0,3420.0,3030,3420.0,42.13,600.18,10.96,10.96,20.18,10.96
9,Left-skewed,200,0.15,1.5,9,3630.0,3630.0,3990.0,3630.0,6210.0,3330.0,3030,3330.0,46.38,600.34,9.01,9.01,19.82,9.01
10,Left-skewed,200,0.15,1.5,9,3630.0,3630.0,4035.0,3630.0,5955.0,3330.0,3030,3330.0,44.08,600.11,9.01,9.01,21.17,9.01
1,Left-skewed,200,0.25,1.5,9,3630.0,3630.0,3855.0,3630.0,6180.0,3150.0,3030,3150.0,49.03,600.09,15.24,15.24,22.38,15.24
2,Left-skewed,200,0.25,1.5,9,3675.0,3630.0,3930.0,3630.0,6135.0,3240.0,3030,3240.0,47.19,600.12,13.43,12.04,21.3,12.04
3,Left-skewed,200,0.25,1.5,9,3495.0,3480.0,3675.0,3480.0,5775.0,3060.0,3030,3060.0,47.01,600.08,14.22,13.73,20.1,13.73
4,Left-skewed,200,0.25,1.5,9,3675.0,3630.0,3855.0,3630.0,4545.0,3240.0,3030,3240.0,28.71,600.11,13.43,12.04,18.98,12.04
5,Left-skewed,200,0.25,1.5,9,3750.0,3750.0,4020.0,3750.0,5880.0,3330.0,3030,3330.0,43.37,600.1,12.61,12.61,20.72,12.61
6,Left-skewed,200,0.25,1.5,9,3570.0,3540.0,3855.0,3540.0,5280.0,3195.0,3030,3195.0,39.49,600.14,11.74,10.8,20.66,10.8
7,Left-skewed,200,0.25,1.5,9,3615.0,3615.0,3810.0,3615.0,5955.0,3150.0,3030,3150.0,47.1,600.18,14.76,14.76,20.95,14.76
8,Left-skewed,200,0.25,1.5,9,3795.0,3795.0,4020.0,3795.0,5835.0,3330.0,3030,3330.0,42.93,600.09,13.96,13.96,20.72,13.96
9,Left-skewed,200,0.25,1.5,9,3630.0,3615.0,3840.0,3615.0,6135.0,3195.0,3030,3195.0,47.92,600.11,13.62,13.15,20.19,13.15
10,Left-skewed,200,0.25,1.5,9,3630.0,3630.0,3930.0,3630.0,5505.0,3240.0,3030,3240.0,41.14,600.14,12.04,12.04,21.3,12.04
1,Left-skewed,200,0.35,1.5,9,3630.0,3045.0,3045.0,3045.0,5895.0,2925.0,3030,3030,50.38,600.12,19.8,0.5,0.5,0.5
2,Left-skewed,200,0.35,1.5,9,3675.0,3030,3030.0,3030.0,5790.0,2790.0,3030,3030,51.81,600.1,21.29,0.0,0.0,0.0
3,Left-skewed,200,0.35,1.5,9,3495.0,3030,3030.0,3030.0,4935.0,2167.27,3030,3030,56.08,600.16,15.35,0.0,0.0,0.0
4,Left-skewed,200,0.35,1.5,9,3675.0,3030,3030.0,3030.0,4455.0,2700.0,3030,3030,39.39,601.0,21.29,0.0,0.0,0.0
5,Left-skewed,200,0.35,1.5,9,3750.0,3075.0,3075.0,3075.0,inf,2565.0,3030,3030,100.0,600.2,23.76,1.49,1.49,1.49
6,Left-skewed,200,0.35,1.5,9,3570.0,3030,3030.0,3030.0,4530.0,2700.0,3030,3030,40.4,600.1,17.82,0.0,0.0,0.0
7,Left-skewed,200,0.35,1.5,9,3615.0,3030,3030.0,3030.0,inf,2385.26,3030,3030,100.0,600.12,19.31,0.0,0.0,0.0
8,Left-skewed,200,0.35,1.5,9,3795.0,3090.0,3090.0,3090.0,4545.0,3015.0,3030,3030,33.66,600.11,25.25,1.98,1.98,1.98
9,Left-skewed,200,0.35,1.5,9,3630.0,3030,3030.0,3030.0,5235.0,2389.76,3030,3030,54.35,600.12,19.8,0.0,0.0,0.0
10,Left-skewed,200,0.35,1.5,9,3630.0,3030,3030.0,3030.0,4080.0,2610.0,3030,3030,36.03,600.15,19.8,0.0,0.0,0.0
